"sample_id","year","water_body","species_name","age_otolith","tl_mm","weight_g","sex","egg_count","tl_cm"
"92",2009,"Hovsgol","grayling-unknown",NA,135,19,"Juv",NA,13.5
"110",2009,"Hovsgol","grayling-unknown",NA,131,16.5,"Juv",NA,13.1
"111",2009,"Hovsgol","grayling-unknown",NA,113,14,"Juv",NA,11.3
"112",2009,"Hovsgol","grayling-unknown",NA,130,11.5,"Juv",NA,13
"113",2009,"Hovsgol","grayling-unknown",NA,108,9.5,"Juv",NA,10.8
"115",2009,"Hovsgol","grayling-unknown",NA,140,16,"Juv",NA,14
"116",2009,"Hovsgol","grayling-unknown",NA,140,17,"Juv",NA,14
"117",2009,"Hovsgol","grayling-unknown",NA,139,16.5,"Juv",NA,13.9
"121",2009,"Hovsgol","grayling-unknown",NA,212,62,"Juv",NA,21.2
"122",2009,"Hovsgol","grayling-unknown",NA,222,54.5,"Juv",NA,22.2
"123",2009,"Hovsgol","grayling-unknown",NA,200,55,"Juv",NA,20
"B032",2009,"Hovsgol","roach",NA,103,9,"Juv",NA,10.3
"B100",2009,"Hovsgol","lenok",NA,266,175,"Juv",NA,26.6
"B104",2009,"Hovsgol","lenok",NA,246,131,"Juv",NA,24.6
"B115",2009,"Hovsgol","lenok",NA,241,118,"Juv",NA,24.1
"B122",2009,"Hovsgol","burbot",NA,486,730,"Juv",NA,48.6
"B158",2009,"Hovsgol","burbot",NA,395,520,"Juv",NA,39.5
"B164",2009,"Hovsgol","lenok",NA,410,560,"Juv",NA,41
"B166",2009,"Hovsgol","lenok",NA,426,780,"Juv",NA,42.6
"B170",2009,"Hovsgol","burbot",NA,441,558,"Juv",NA,44.1
"B175",2009,"Hovsgol","lenok",NA,372,429,"Juv",NA,37.2
"B181",2009,"Hovsgol","lenok",NA,384,456,"Juv",NA,38.4
"B183",2009,"Hovsgol","lenok",NA,343,329,"Juv",NA,34.3
"B186",2009,"Hovsgol","lenok",NA,412,520,"Juv",NA,41.2
"B187",2009,"Hovsgol","lenok",NA,390,542,"Juv",NA,39
"B5",2011,"Uur","burbot",NA,327,221,"Juv",NA,32.7
"G1002",2012,"Uur","grayling-Arctic",NA,136,21.5,"Juv",NA,13.6
"G1004",2012,"Uur","grayling-Arctic",NA,148,26.2,"Juv",NA,14.8
"G1005",2012,"Uur","grayling-Arctic",NA,139,22.6,"Juv",NA,13.9
"G1011",2012,"Uur","grayling-Arctic",NA,147,25.2,"Juv",NA,14.7
"G1012",2012,"Uur","grayling-Arctic",NA,153,31,"Juv",NA,15.3
"G1015",2012,"Uur","grayling-Arctic",NA,141,22,"Juv",NA,14.1
"G1016",2012,"Uur","grayling-Arctic",NA,142,21.7,"Juv",NA,14.2
"G1017",2012,"Uur","grayling-Arctic",NA,148,25,"Juv",NA,14.8
"G1018",2012,"Uur","grayling-Arctic",NA,132,18.2,"Juv",NA,13.2
"G1020",2012,"Uur","grayling-Arctic",NA,145,21.4,"Juv",NA,14.5
"G1024",2012,"Eg","grayling-Arctic",NA,182,50.4,"Juv",NA,18.2
"G1025",2012,"Eg","grayling-Arctic",NA,212,79.5,"Juv",NA,21.2
"G1027",2012,"Eg","grayling-Arctic",NA,228,94.3,"Juv",NA,22.8
"G1029",2012,"Eg","grayling-Arctic",NA,271,154,"Juv",NA,27.1
"G1032",2012,"Eg","grayling-Arctic",NA,145,25.2,"Juv",NA,14.5
"G1034",2012,"Eg","grayling-Arctic",NA,156,38,"Juv",NA,15.6
"G1035",2012,"Eg","grayling-Arctic",NA,145,22.2,"Juv",NA,14.5
"G1036",2012,"Eg","grayling-Arctic",NA,145,24.4,"Juv",NA,14.5
"G1037",2012,"Eg","grayling-Arctic",NA,144,24.8,"Juv",NA,14.4
"G1038",2012,"Uur","grayling-Arctic",NA,156,29.9,"Juv",NA,15.6
"G1042",2012,"Eg","grayling-Arctic",NA,148,26.3,"Juv",NA,14.8
"G1048",2012,"Eg","grayling-Arctic",NA,227,98,"Juv",NA,22.7
"G1053",2012,"Eg","grayling-Arctic",NA,210,70.3,"Juv",NA,21
"G1054",2012,"Eg","grayling-Arctic",NA,171,41.5,"Juv",NA,17.1
"G1055",2012,"Eg","grayling-Arctic",NA,179,47.1,"Juv",NA,17.9
"G1056",2012,"Eg","grayling-Arctic",NA,178,45,"Juv",NA,17.8
"G1058",2012,"Eg","grayling-Arctic",NA,163,34.7,"Juv",NA,16.3
"G1061",2012,"Eg","grayling-Arctic",NA,196,62.4,"Juv",NA,19.6
"G1062",2012,"Eg","grayling-Arctic",NA,155,27.2,"Juv",NA,15.5
"G1063",2012,"Eg","grayling-Arctic",NA,188,57.2,"Juv",NA,18.8
"G1073",2012,"Eg","grayling-Arctic",NA,172,40.5,"Juv",NA,17.2
"G1078",2012,"Eg","grayling-Arctic",NA,190,55,"Juv",NA,19
"G1079",2012,"Eg","grayling-Arctic",NA,215,82.7,"Juv",NA,21.5
"G1084",2012,"Eg","grayling-Arctic",NA,217,84.7,"Juv",NA,21.7
"G1088",2012,"Eg","grayling-Arctic",NA,172,43,"Juv",NA,17.2
"G1090",2012,"Eg","grayling-Arctic",NA,200,68.1,"Juv",NA,20
"G1091",2012,"Eg","grayling-Arctic",NA,151,27.9,"Juv",NA,15.1
"G1092",2012,"Eg","grayling-Arctic",NA,180,50.1,"Juv",NA,18
"G1099",2012,"Uur","grayling-Arctic",NA,155,33.6,"Juv",NA,15.5
"G1106",2012,"Uur","grayling-Arctic",NA,191,56.4,"Juv",NA,19.1
"G1108",2012,"Uur","grayling-Arctic",NA,154,30.5,"Juv",NA,15.4
"G1109",2012,"Uur","grayling-Arctic",NA,147,24.5,"Juv",NA,14.7
"G1114",2012,"Uur","grayling-Arctic",NA,158,34.1,"Juv",NA,15.8
"G1116",2012,"Uur","grayling-Arctic",NA,165,36.3,"Juv",NA,16.5
"G1117",2012,"Uur","grayling-Arctic",NA,149,29.3,"Juv",NA,14.9
"G1122",2012,"Uur","grayling-Arctic",NA,145,23.8,"Juv",NA,14.5
"G1123",2012,"Uur","grayling-Arctic",NA,156,28.4,"Juv",NA,15.6
"G1124",2012,"Eg-near Hovsgol","grayling-Arctic",NA,204,66.7,"Juv",NA,20.4
"G1125",2012,"Eg-near Hovsgol","grayling-Arctic",NA,140,23.8,"Juv",NA,14
"G1126",2012,"Eg-near Hovsgol","grayling-Arctic",NA,290,210.1,"Juv",NA,29
"G1138",2012,"Eg-near Hovsgol","grayling-unknown",NA,230,98,"Juv",NA,23
"G1148",2012,"Eg-near Hovsgol","grayling-unknown",NA,147,32.2,"Juv",NA,14.7
"G1149",2012,"Eg-near Hovsgol","grayling-unknown",NA,138,23.2,"Juv",NA,13.8
"G2001E-U",2013,"Uur","grayling-Arctic",NA,162,30.3,"Juv",NA,16.2
"G2002E-U",2013,"Uur","grayling-Arctic",NA,161,34,"Juv",NA,16.1
"G2003E-U",2013,"Uur","grayling-Arctic",NA,158,37,"Juv",NA,15.8
"G2004E-U",2013,"Uur","grayling-Arctic",NA,137,22,"Juv",NA,13.7
"G2005E-U",2013,"Uur","grayling-Arctic",NA,140,20.7,"Juv",NA,14
"G2006E-U",2013,"Uur","grayling-Arctic",NA,136,20,"Juv",NA,13.6
"G2007E-U",2013,"Uur","grayling-Arctic",NA,157,28,"Juv",NA,15.7
"L1003",2012,"Uur","lenok",NA,238,112,"Juv",NA,23.8
"L1004",2012,"Uur","lenok",NA,223,104,"Juv",NA,22.3
"L1005",2012,"Uur","lenok",NA,236,103,"Juv",NA,23.6
"L1008",2012,"Uur","lenok",NA,145,26.5,"Juv",NA,14.5
"L1010",2012,"Uur","lenok",NA,110,10.5,"Juv",NA,11
"L1011",2012,"Uur","lenok",NA,105,9.5,"Juv",NA,10.5
"L1012",2012,"Uur","lenok",NA,112,13.3,"Juv",NA,11.2
"L1013",2012,"Uur","lenok",NA,102,8.9,"Juv",NA,10.2
"L1014",2012,"Uur","lenok",NA,106,9.5,"Juv",NA,10.6
"L1015",2012,"Uur","lenok",NA,99,8.3,"Juv",NA,9.9
"L1016",2012,"Uur","lenok",NA,101,8.2,"Juv",NA,10.1
"L1017",2012,"Uur","lenok",NA,103,9,"Juv",NA,10.3
"L1018",2012,"Uur","lenok",NA,100,8.6,"Juv",NA,10
"L1020",2012,"Uur","lenok",NA,100,7.7,"Juv",NA,10
"L1022",2012,"Uur","lenok",NA,108,10.1,"Juv",NA,10.8
"L1024",2012,"Uur","lenok",NA,94,7.1,"Juv",NA,9.4
"L1027",2012,"Uur","lenok",NA,233,106,"Juv",NA,23.3
"L1028",2012,"Uur","lenok",NA,218,90,"Juv",NA,21.8
"L1029",2012,"Uur","lenok",NA,141,26.2,"Juv",NA,14.1
"L1030",2012,"Uur","lenok",NA,101,8.8,"Juv",NA,10.1
"L1031",2012,"Uur","lenok",NA,124,16.1,"Juv",NA,12.4
"L1034",2012,"Uur","lenok",NA,145,25.2,"Juv",NA,14.5
"L1035",2012,"Uur","lenok",NA,142,24.8,"Juv",NA,14.2
"L1036",2012,"Uur","lenok",NA,113,11.7,"Juv",NA,11.3
"L1037",2012,"Uur","lenok",NA,146,28,"Juv",NA,14.6
"L1038",2012,"Uur","lenok",NA,100,8.3,"Juv",NA,10
"L1039",2012,"Uur","lenok",NA,128,17.1,"Juv",NA,12.8
"L1040",2012,"Uur","lenok",NA,135,20.1,"Juv",NA,13.5
"L1041",2012,"Uur","lenok",NA,120,14.3,"Juv",NA,12
"L1042",2012,"Uur","lenok",NA,108,11.1,"Juv",NA,10.8
"L1043",2012,"Uur","lenok",NA,115,12.8,"Juv",NA,11.5
"L1045",2012,"Uur","lenok",NA,107,8.8,"Juv",NA,10.7
"L1051",2012,"Uur","lenok",NA,280,185,"Juv",NA,28
"L1052",2012,"Uur","lenok",NA,294,232,"Juv",NA,29.4
"L1053",2012,"Uur","lenok",NA,343,370,"Juv",NA,34.3
"L1054",2012,"Uur","lenok",NA,223,99,"Juv",NA,22.3
"L1055",2012,"Uur","lenok",NA,220,99,"Juv",NA,22
"L1056",2012,"Uur","lenok",NA,261,158,"Juv",NA,26.1
"L1057",2012,"Uur","lenok",NA,226,92,"Juv",NA,22.6
"L1058",2012,"Uur","lenok",NA,241,129,"Juv",NA,24.1
"L1059",2012,"Uur","lenok",NA,232,116,"Juv",NA,23.2
"L1060",2012,"Uur","lenok",NA,243,129,"Juv",NA,24.3
"L1061",2012,"Uur","lenok",NA,143,23.5,"Juv",NA,14.3
"L1063",2012,"Uur","lenok",NA,282,192,"Juv",NA,28.2
"L1064",2012,"Uur","lenok",NA,136,21,"Juv",NA,13.6
"L1089",2012,"Eg","lenok",NA,262,167,"Juv",NA,26.2
"L1121",2012,"Uur","lenok",NA,175,45.8,"Juv",NA,17.5
"L1130",2012,"Uur","lenok",NA,224,97.1,"Juv",NA,22.4
"L1131",2012,"Uur","lenok",NA,244,119.2,"Juv",NA,24.4
"L1134",2012,"Hovsgol","lenok",NA,141,14,"Juv",NA,14.1
"L1136",2012,"Hovsgol","lenok",NA,374,361,"Juv",NA,37.4
"L1159",2012,"Hovsgol","lenok",NA,244,100,"Juv",NA,24.4
"L1160",2012,"Hovsgol","lenok",NA,226,78,"Juv",NA,22.6
"L1161",2012,"Hovsgol","lenok",NA,216,66,"Juv",NA,21.6
"L1163",2012,"Hovsgol","lenok",NA,225,80,"Juv",NA,22.5
"L1174",2012,"Hovsgol","lenok",NA,255,131,"Juv",NA,25.5
"L1175",2012,"Hovsgol","lenok",NA,254,114,"Juv",NA,25.4
"LE2001",2013,"Uur","lenok",NA,349,362,"Juv",NA,34.9
"LE2006",2013,"Uur","lenok",NA,251,127.2,"Juv",NA,25.1
"LE2010",2013,"Uur","lenok",NA,227,106.5,"Juv",NA,22.7
"LE2011",2013,"Uur","lenok",NA,235,108.6,"Juv",NA,23.5
"LE2012",2013,"Uur","lenok",NA,249,127,"Juv",NA,24.9
"LE2014",2013,"Uur","lenok",NA,254,143.7,"Juv",NA,25.4
"LE2023",2013,"Hovsgol","lenok",NA,285,171.2,"Juv",NA,28.5
"LE2024",2013,"Hovsgol","lenok",NA,260,138.5,"Juv",NA,26
"LE2025",2013,"Hovsgol","lenok",NA,273,166.4,"Juv",NA,27.3
"LE2026",2013,"Hovsgol","lenok",NA,270,148.9,"Juv",NA,27
"LE2027",2013,"Hovsgol","lenok",NA,263,144.3,"Juv",NA,26.3
"LE2028",2013,"Hovsgol","lenok",NA,253,128.6,"Juv",NA,25.3
"LE2029",2013,"Hovsgol","lenok",NA,247,127,"Juv",NA,24.7
"LE2030",2013,"Hovsgol","lenok",NA,275,168.4,"Juv",NA,27.5
"LE2044",2013,"Hovsgol","lenok",NA,248,125,"Juv",NA,24.8
"LL1001",2012,"Hovsgol","burbot",NA,410,389,"Juv",NA,41
"P2001",2013,"Hovsgol","perch",NA,215,106.5,"Juv",NA,21.5
"PP2001F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2002F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2003F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2004F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2005F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2006F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2007F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2008F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2009F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2010F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2011F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2012F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2013F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2014F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2015F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2016F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2017F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2018F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2019F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"PP2020F",2013,"Uur","Phoxinus",NA,45,0.75,"Juv",NA,4.5
"G1008",2012,"Uur","grayling-Arctic",5,272,158.7,"M",NA,27.2
"G1043",2012,"Eg","grayling-Arctic",2,279,191.1,"M",NA,27.9
"G1039",2012,"Eg","grayling-Arctic",3,272,147.6,"M",NA,27.2
"G1040",2012,"Eg","grayling-Arctic",3,296,213.1,"M",NA,29.6
"G1046",2012,"Eg","grayling-Arctic",3,252,125.4,"M",NA,25.2
"G1071",2012,"Eg","grayling-Arctic",3,272,165.7,"M",NA,27.2
"G1082",2012,"Eg","grayling-Arctic",3,250,122.9,"M",NA,25
"G1096",2012,"Uur","grayling-Arctic",3,310,293.1,"M",NA,31
"G1045",2012,"Eg","grayling-Arctic",4,292,197,"M",NA,29.2
"G1263",2012,"Hovsgol","grayling-Arctic",4,291,186,"M",NA,29.1
"G15",2011,"Eg-Uur-DSC","grayling-Arctic",6,334,326,"M",NA,33.4
"G1165",2012,"Hovsgol","grayling-Hovsgol",4,224,67,"M",NA,22.4
"G1332",2012,"Hovsgol","grayling-Hovsgol",4,268,137.6,"M",NA,26.8
"G2160",2013,"Hovsgol","grayling-Hovsgol",4,206,56,"M",NA,20.6
"G1238",2012,"Hovsgol","grayling-Hovsgol",5,229,71.2,"M",NA,22.9
"G1297",2012,"Hovsgol","grayling-Hovsgol",7,295,190.2,"M",NA,29.5
"G1355",2012,"Hovsgol","grayling-Hovsgol",7,239,56.4,"M",NA,23.9
"G2117",2013,"Hovsgol","grayling-Hovsgol",7,254,94.7,"M",NA,25.4
"G1233",2012,"Hovsgol","grayling-Hovsgol",8,258,104.4,"M",NA,25.8
"G2281",2013,"Hovsgol","grayling-Hovsgol",4,251,96,"M",NA,25.1
"198",2009,"Hovsgol","grayling-Hovsgol",9,365,330,"M",NA,36.5
"209",2009,"Hovsgol","grayling-Hovsgol",7,260,111,"M",NA,26
"218",2009,"Hovsgol","grayling-Hovsgol",8,316,260,"M",NA,31.6
"G22",2011,"Uur","grayling-Arctic",3,237,107,"M",NA,23.7
"G2331",2013,"Hovsgol","grayling-Hovsgol",12,280,102.3,"M",NA,28
"G243",2011,"Hovsgol","grayling-Hovsgol",5,NA,70,"M",NA,NA
"L1194",2012,"Hovsgol","lenok",2,281,164.1,"M",NA,28.1
"L1183",2012,"Hovsgol","lenok",3,307,236.7,"M",NA,30.7
"G1050",2012,"Eg","grayling-Arctic",3,288,212,"M",NA,28.8
"L1097",2012,"Eg","lenok",4,310,272.6,"M",NA,31
"L1026",2012,"Uur","lenok",4,343,360,"M",NA,34.3
"132",2009,"Hovsgol","grayling-unknown",7,356,375,"M",NA,35.6
"133",2009,"Hovsgol","grayling-unknown",7,338,345,"M",NA,33.8
"L1050",2012,"Uur","lenok",7,492,1120,"M",NA,49.2
"L1169",2012,"Hovsgol","lenok",7,491,969,"M",NA,49.1
"G1258",2012,"Hovsgol","grayling-Hovsgol",8,245,84,"M",NA,24.5
"G2144",2013,"Hovsgol","grayling-Hovsgol",8,295,190.6,"M",NA,29.5
"220",2009,"Hovsgol","grayling-unknown",15,375,380,"M",NA,37.5
"G1044",2012,"Eg","grayling-Arctic",2,219,89.3,"M",NA,21.9
"G1041",2012,"Eg","grayling-Arctic",3,247,137.4,"M",NA,24.7
"G1076",2012,"Eg","grayling-Arctic",3,265,153,"M",NA,26.5
"G19",2011,"Eg-Uur-DSC","grayling-Arctic",2,241,117,"M",NA,24.1
"G1060",2012,"Eg","grayling-Arctic",4,276,172.9,"M",NA,27.6
"G1319",2012,"Hovsgol","grayling-Hovsgol",4,192,48.6,"M",NA,19.2
"G1306",2012,"Hovsgol","grayling-Hovsgol",5,265,130.3,"M",NA,26.5
"G1241",2012,"Hovsgol","grayling-Hovsgol",6,227,72.4,"M",NA,22.7
"G1315",2012,"Hovsgol","grayling-Hovsgol",6,221,73.3,"M",NA,22.1
"G139",2011,"Hovsgol","grayling-Hovsgol",7,291,180,"M",NA,29.1
"G2150",2013,"Hovsgol","grayling-Hovsgol",7,280,168,"M",NA,28
"G2310",2013,"Hovsgol","grayling-Hovsgol",7,333,292,"M",NA,33.3
"G2143",2013,"Hovsgol","grayling-Hovsgol",8,287,168.3,"M",NA,28.7
"G216",2011,"Hovsgol","grayling-Hovsgol",5,258,129,"M",NA,25.8
"140",2009,"Hovsgol","grayling-Hovsgol",5,264,122,"M",NA,26.4
"217",2009,"Hovsgol","grayling-Hovsgol",5,304,206,"M",NA,30.4
"192",2009,"Hovsgol","grayling-Hovsgol",6,270,120,"M",NA,27
"197",2009,"Hovsgol","grayling-Hovsgol",7,312,247,"M",NA,31.2
"L1138",2012,"Hovsgol","lenok",2,318,289,"M",NA,31.8
"L1113",2012,"Uur","lenok",3,NA,200.7,"M",NA,NA
"86",2009,"Hovsgol","grayling-unknown",3,175,29,"M",NA,17.5
"L1002",2012,"Uur","lenok",3,280,207,"M",NA,28
"L1048",2012,"Uur","lenok",3,313,266,"M",NA,31.3
"L1112",2012,"Uur","lenok",3,306,139.2,"M",NA,30.6
"L1124",2012,"Uur","lenok",3,319,285.7,"M",NA,31.9
"L1126",2012,"Uur","lenok",3,286,202.6,"M",NA,28.6
"L1128",2012,"Uur","lenok",3,274,193.2,"M",NA,27.4
"L1129",2012,"Uur","lenok",3,266,158.8,"M",NA,26.6
"L1176",2012,"Hovsgol","lenok",3,258,132,"M",NA,25.8
"L1110",2012,"Uur","lenok",3,292,231.8,"M",NA,29.2
"L1104",2012,"Eg","lenok",4,NA,582,"M",NA,NA
"L1118",2012,"Uur","lenok",4,254,146.4,"M",NA,25.4
"L1145",2012,"Hovsgol","lenok",4,414,639,"M",NA,41.4
"L1202",2012,"Hovsgol","lenok",4,445,901,"M",NA,44.5
"LE2022",2013,"Hovsgol","lenok",4,372,490,"M",NA,37.2
"L1185",2012,"Hovsgol","lenok",4,263,152.4,"M",NA,26.3
"L1099",2012,"Eg","lenok",5,409,592,"M",NA,40.9
"L1166",2012,"Hovsgol","lenok",5,355,382,"M",NA,35.5
"L1181",2012,"Hovsgol","lenok",5,460,862,"M",NA,46
"L1209",2012,"Hovsgol","lenok",5,431,701,"M",NA,43.1
"L1046",2012,"Uur","lenok",6,404,590,"M",NA,40.4
"L1199",2012,"Hovsgol","lenok",6,454,918,"M",NA,45.4
"L1210",2012,"Hovsgol","lenok",6,389,418,"M",NA,38.9
"LE2047",2013,"Hovsgol","lenok",6,498,1100,"M",NA,49.8
"L1197",2012,"Hovsgol","lenok",7,510,1250,"M",NA,51
"LE2003",2013,"Uur","lenok",7,477,1073,"M",NA,47.7
"G2274",2013,"Hovsgol","grayling-Hovsgol",7,241,99,"M",NA,24.1
"G1271",2012,"Hovsgol","grayling-Hovsgol",9,237,68,"M",NA,23.7
"G1324",2012,"Hovsgol","grayling-Hovsgol",17,261,106.6,"M",NA,26.1
"G1047",2012,"Eg","grayling-Arctic",3,285,200.9,"M",NA,28.5
"G1087",2012,"Eg","grayling-Arctic",1,152,30.2,"M",NA,15.2
"G1317",2012,"Hovsgol","grayling-Hovsgol",4,198,51.5,"M",NA,19.8
"G1162",2012,"Hovsgol","grayling-Hovsgol",6,228,66,"M",NA,22.8
"G1243",2012,"Hovsgol","grayling-Hovsgol",6,210,64,"M",NA,21
"G2129",2013,"Hovsgol","grayling-Hovsgol",8,218,66,"M",NA,21.8
"213",2009,"Hovsgol","grayling-Hovsgol",5,214,62,"M",NA,21.4
"219",2009,"Hovsgol","grayling-Hovsgol",9,358,361,"M",NA,35.8
"L1133",2012,"Hovsgol","lenok",4,NA,NA,"M",NA,NA
"L1119",2012,"Uur","lenok",3,260,173.3,"M",NA,26
"L1137",2012,"Hovsgol","lenok",3,271,159,"M",NA,27.1
"L1049",2012,"Uur","lenok",3,340,321,"M",NA,34
"L1047",2012,"Uur","lenok",5,391,532,"M",NA,39.1
"L1098",2012,"Eg","lenok",7,546,1600,"M",NA,54.6
"G2311",2013,"Hovsgol","grayling-Hovsgol",5.5,315,217,"M",NA,31.5
"G2217",2013,"Hovsgol","grayling-Hovsgol",7.5,322,197.9,"M",NA,32.2
"G1112",2012,"Uur","grayling-Arctic",2,221,92.3,"M",NA,22.1
"4",2009,"Hovsgol","grayling-Hovsgol",NA,257,122,"M",NA,25.7
"7",2009,"Hovsgol","grayling-Hovsgol",NA,223,81,"M",NA,22.3
"11",2009,"Hovsgol","grayling-Hovsgol",NA,246,85,"M",NA,24.6
"13",2009,"Hovsgol","grayling-Hovsgol",NA,252,97.5,"M",NA,25.2
"37",2009,"Hovsgol","grayling-Hovsgol",NA,277,160,"M",NA,27.7
"38",2009,"Hovsgol","grayling-Hovsgol",NA,297,195,"M",NA,29.7
"41",2009,"Hovsgol","grayling-Hovsgol",NA,274,152,"M",NA,27.4
"42",2009,"Hovsgol","grayling-Arctic",NA,262,146,"M",NA,26.2
"44",2009,"Hovsgol","grayling-Hovsgol",NA,254,130,"M",NA,25.4
"65",2009,"Hovsgol","grayling-Hovsgol",NA,223,71,"M",NA,22.3
"73",2009,"Hovsgol","grayling-Hovsgol",NA,205,56,"M",NA,20.5
"75",2009,"Hovsgol","grayling-Hovsgol",NA,187,46,"M",NA,18.7
"124",2009,"Hovsgol","grayling-Hovsgol",NA,204,57,"M",NA,20.4
"125",2009,"Hovsgol","grayling-Hovsgol",NA,228,73,"M",NA,22.8
"129",2009,"Hovsgol","grayling-Hovsgol",NA,295,170,"M",NA,29.5
"138",2009,"Hovsgol","grayling-Hovsgol",NA,247,100,"M",NA,24.7
"144",2009,"Hovsgol","grayling-Hovsgol",NA,291,180,"M",NA,29.1
"159",2009,"Hovsgol","grayling-Hovsgol",NA,293,157,"M",NA,29.3
"160",2009,"Hovsgol","grayling-Hovsgol",NA,308,196,"M",NA,30.8
"161",2009,"Hovsgol","grayling-Hovsgol",NA,339,279,"M",NA,33.9
"162",2009,"Hovsgol","grayling-Hovsgol",NA,267,129,"M",NA,26.7
"163",2009,"Hovsgol","grayling-Hovsgol",NA,270,121,"M",NA,27
"165",2009,"Hovsgol","grayling-Hovsgol",NA,261,121,"M",NA,26.1
"205",2009,"Hovsgol","grayling-Hovsgol",NA,246,106,"M",NA,24.6
"206",2009,"Hovsgol","grayling-Hovsgol",NA,250,117,"M",NA,25
"215",2009,"Hovsgol","grayling-Hovsgol",NA,262,149,"M",NA,26.2
"216",2009,"Hovsgol","grayling-Hovsgol",NA,238,67,"M",NA,23.8
"225",2009,"Hovsgol","grayling-Hovsgol",NA,262,148,"M",NA,26.2
"2009-U142",2009,"Hovsgol","grayling-Hovsgol",NA,NA,NA,"M",NA,NA
"118",2009,"Hovsgol","grayling-Hovsgol",NA,322,261,"M",NA,32.2
"B151",2009,"Hovsgol","perch",NA,200,83,"M",NA,20
"B179",2009,"Hovsgol","burbot",NA,838,4100,"M",NA,83.8
"G181",2011,"Hovsgol","grayling-Hovsgol",NA,271,136,"M",NA,27.1
"G2148",2013,"Hovsgol","grayling-Hovsgol",NA,272,158,"M",NA,27.2
"RR1018",2012,"Hovsgol","roach",NA,306,322,"M",NA,30.6
"G47",2011,"Hovsgol","grayling-unknown",NA,253,79.6,"M",NA,25.3
"G1369",2012,"Hovsgol","grayling-Hovsgol",NA,310,219,"M",NA,31
"G1374",2012,"Hovsgol","grayling-Hovsgol",NA,298,171,"M",NA,29.8
"G1219",2012,"Hovsgol","grayling-Arctic",NA,261,144,"M",NA,26.1
"L1186",2012,"Hovsgol","lenok",NA,246,117.4,"M",NA,24.6
"HV 37",2006,"Hovsgol","grayling-unknown",NA,313,220,"M",NA,31.3
"HV 39",2006,"Hovsgol","grayling-unknown",NA,269,130,"M",NA,26.9
"HV 40",2006,"Hovsgol","grayling-unknown",NA,248,107,"M",NA,24.8
"HV 41",2006,"Hovsgol","grayling-unknown",NA,258,125,"M",NA,25.8
"HV 59",2006,"Hovsgol","grayling-unknown",NA,292,205,"M",NA,29.2
"HV 58",2006,"Hovsgol","grayling-unknown",NA,295,200,"M",NA,29.5
"HV 53",2006,"Hovsgol","grayling-unknown",NA,250,110,"M",NA,25
"HV 54",2006,"Hovsgol","grayling-unknown",NA,260,140,"M",NA,26
"HV 55",2006,"Hovsgol","grayling-unknown",NA,250,115,"M",NA,25
"HV 80",2006,"Hovsgol","perch",NA,302,305,"M",NA,30.2
"HV 83",2006,"Hovsgol","roach",NA,329,370,"M",NA,32.9
"HV 85",2006,"Hovsgol","grayling-unknown",NA,266,140,"M",NA,26.6
"HV 82",2006,"Hovsgol","roach",NA,376,485,"M",NA,37.6
"HV 87",2006,"Hovsgol","grayling-unknown",NA,275,140,"M",NA,27.5
"HV 86",2006,"Hovsgol","grayling-unknown",NA,225,75,"M",NA,22.5
"HV 60",2006,"Hovsgol","perch",NA,385,720,"M",NA,38.5
"HV 72",2006,"Hovsgol","grayling-unknown",NA,234,75,"M",NA,23.4
"HV 76",2006,"Hovsgol","lenok",NA,353,425,"M",NA,35.3
"G2146",2013,"Hovsgol","grayling-Hovsgol",NA,289,179.9,"M",NA,28.9
"HV 74",2006,"Hovsgol","grayling-unknown",NA,484,550,"M",NA,48.4
"HV 73",2006,"Hovsgol","grayling-unknown",NA,316,240,"M",NA,31.6
"HV 94",2006,"Hovsgol","roach",NA,290,415,"M",NA,29
"HV 96",2006,"Hovsgol","roach",NA,315,325,"M",NA,31.5
