"SITE","NOME","X","Y","ILLUMINATION","VINES","DM97","DM98","DM99","DM00","DM01","DM02","DM03","DM04","DM05","DM06","DM07","DM08","DM09","INC9597","INC9798","INC9899","INC9900","INC0001","INC0102","INC0203","INC0304","INC0405","INC0506","INC0607","INC0708","INC0809","FRT97","FRT98","FRT99","FRT00","FRT01","FRT02","FRT03","FRT04","FRT05","FRT06","FRT07","FRT08","FRT09"
"MR",46,1818.1,1322.8,4,2,48.4,49.7,51.1,52.6,54.4,55.7,56.8,57.8,59.1,60.5,61.4,62.7,64.3,1.5,1.3,1.35,1.55,1.75,1.35,1.1,1,1.3,1.4,0.9,1.25,1.6,6,8,2,11,8,3,30,5,96,1,22,12,17
"MR",21502,1859.1,1311,NA,NA,5.9,6.9,7.9,9,10,10.8,11.6,12.1,12.8,13.6,14,14.7,15.2,NA,1,0.95,1.1,1,0.85,0.75,0.55,0.7,0.8,0.4,0.7,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0
"MR",21601,1936.4,1534,4,3,15.9,16.6,17.5,19,20.1,20.6,21,21.7,22,22.2,22.2,22.5,22.7,NA,0.67,0.95,1.5,1.05,0.5,0.45,0.7,0.3,0.2,0,0.3,0.2,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MR",1001,NA,NA,4,2,41,41.5,41.7,42.3,42.6,43.3,44,44.8,45.3,45.9,46.4,46.9,47.1,1,0.5,0.15,0.6,0.3,0.7,0.83,0.83,0.45,0.65,0.45,0.5,0.25,6,0,0,0,0,0,2,0,0,0,0,0,0
"MR",1002,NA,NA,3,0,47.5,48.8,49.6,50.8,52.4,53.9,54.5,55.2,56.7,58.1,59.4,60.2,62,1.32,1.3,0.85,1.2,1.6,1.45,1.45,1.4,1.5,1.45,1.25,0.8,1.8,15,25,0,1,9,5,13,NA,12,2,100,0,5
"MR",1003,NA,NA,2,3,26.4,27,27.7,28,28.7,29.3,30,30.6,30.8,31.2,31.6,NA,NA,NA,0.65,0.65,0.35,0.7,0.6,0.4,0.4,0.15,0.45,0.35,NA,NA,0,2,0,0,0,2,0,0,0,1,7,0,NA
"MR",1004,NA,NA,4,1,30,30.4,30.8,31.3,31.7,31.9,32.6,33.2,33.3,33.3,33.2,33.3,33.4,NA,0.36,0.4,0.55,0.4,0.2,0.1,0.1,0.1,0,-0.1,0.1,0.1,NA,0,1,4,1,3,0,NA,0,0,0,23,0
"MR",1005,NA,NA,2,1,20.6,21.5,22.3,23.4,24.5,25.4,26,26.7,27.3,28.1,28.6,29.4,29.5,NA,0.86,0.85,1.1,1.1,0.85,0.7,0.65,0.65,0.8,0.5,0.8,0.1,NA,0,0,3,1,8,12,NA,9,1,0,6,0
"MR",10103,2739,-1426,3,0,28.3,29.5,30.3,31.3,33.2,35.8,37.3,39,40.3,42,43.7,44.4,46.2,NA,1.15,0.85,0.95,1.9,2.65,1.45,1.7,1.35,1.65,1.7,0.75,1.75,NA,0,0,0,0,0,2,0,5,0,1,0,0
"MR",10102,2850,-1306,3,0,65,65.8,66.6,67.8,69.2,70.6,71.6,73,73.8,75,76.4,77.6,79.1,NA,0.8,0.8,1.15,1.4,1.4,1,1.45,0.75,1.25,1.35,1.2,1.5,NA,5,3,2,1,12,1,1,0,0,1,18,0
"MR",10101,2880,-1418,3,0,37.3,37.9,38.5,39.5,40.7,42.3,43.9,45.1,45.9,47,47.6,48.5,49.4,NA,0.6,0.6,1,1.15,1.6,1.6,1.2,0.8,1.1,0.65,0.85,0.9,NA,7,3,16,3,3,34,11,80,4,14,0,10
"MR",10201,2931,-1210,2,0,36.7,37,37.1,37.3,38,38.6,38.6,39,39.1,39.4,39.7,39.9,40.4,NA,0.25,0.15,0.2,0.65,0.6,0.05,0.4,0.05,0.3,0.3,0.25,0.5,NA,2,5,10,0,1,0,1,2,1,5,1,3
