"SITE","NOME","X","Y","ILLUMINATION","VINES","DM97","DM98","DM99","DM00","DM01","DM02","DM03","DM04","DM05","DM06","DM07","DM08","DM09","INC9597","INC9798","INC9899","INC9900","INC0001","INC0102","INC0203","INC0304","INC0405","INC0506","INC0607","INC0708","INC0809","FRT97","FRT98","FRT99","FRT00","FRT01","FRT02","FRT03","FRT04","FRT05","FRT06","FRT07","FRT08","FRT09"
"MR",11301,2237,969,0,2,37.4,37.9,38.4,38.9,39.4,39.7,40.3,41.3,41.8,42.4,43.3,43.8,44.4,NA,0.45,0.55,0.45,0.5,0.35,0.6,1,0.45,0.65,0.9,0.45,0.6,0,0,2,7,3,1,3,10,14,1,7,6,2
"MR",11302,2455,915,1,3,30.8,31.2,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR",5,2472,1037,4,0,99.1,99.2,99.2,99.5,99.6,99.8,100.1,100.1,100.1,100.2,100.4,100.4,100.5,0.09,0.05,0,0.3,0.1,0.25,0.3,-0.05,0.05,0.1,0.15,0,0.1,0,0,0,0,0,2,0,0,0,0,0,0,0
"MR",7,2521,1020,2,3,31.5,32,32.9,33.9,34.9,35.5,36.2,37.1,37.8,38.6,39.4,40.3,41.4,0.95,0.5,0.95,1,0.95,0.65,0.7,0.85,0.7,0.85,0.75,0.95,1.05,0,10,2,7,3,12,6,3,20,1,5,3,56
"MR",8,2531,1023,4,1,65.7,66.3,67,67.9,68.8,69.6,70.1,71,71.5,72.2,72.9,73.6,74.6,0.95,0.6,0.7,0.9,0.95,0.75,0.55,0.85,0.5,0.75,0.7,0.7,0.95,5,0,4,22,4,1,0,1,0,0,23,2,0
"MR",9,2554,1074,4,0,83.8,84.2,84.3,84.7,85.2,85.8,86.3,86.6,86.9,87.3,87.6,88.1,88.6,-0.18,0.4,0.05,0.4,0.55,0.6,0.5,0.25,0.35,0.35,0.3,0.5,0.55,1,0,6,22,1,16,3,1,21,3,1,0,1
"MR",10,2909,1034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR",11,3139,991,2,1,43.5,43.7,44,44.5,45.4,45.7,45.9,46.5,47.1,47.4,47.5,47.8,49,0.45,0.15,0.35,0.5,0.85,0.35,0.2,0.6,0.55,0.3,0.1,0.3,1.2,5,2,0,1,1,0,0,0,3,2,0,1,0
"MR",12,3146,981,1,0,30.5,31.3,31.9,32.8,33.9,34.2,34.7,35.6,36.3,37.1,37.9,39,40.4,0.82,0.8,0.6,0.85,1.15,0.3,0.5,0.9,0.65,0.85,0.75,1.1,1.4,0,0,0,1,0,3,3,5,11,1,0,15,0
"MR",6,3194,1051,1,1,45.5,45.8,46.3,46.9,47.6,48.2,48.6,49.4,50.1,50.8,51.4,51.8,52.6,NA,0.3,0.5,0.55,0.7,0.6,0.45,0.8,0.7,0.7,0.55,0.45,0.8,0,0,0,7,2,2,1,0,1,6,1,1,1
"MR",13,3200,992,0,0,24.7,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR",4,2402,1166,4,1,23.8,23.9,24.2,24.9,25.5,25.8,26.1,26.4,26.5,26.6,26.8,27.1,27.1,0.23,0.1,0.3,0.7,0.65,0.3,0.3,0.3,0.05,0.15,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MR",1,2554,1452,3,3,69.9,70,70,70.4,70.8,71.2,71.9,72.9,73.8,74.8,75.5,76.6,77.9,-0.05,0.1,0.05,0.35,0.4,0.45,0.7,0.95,0.9,1,0.75,1.1,1.3,7,1,1,6,2,13,3,9,8,3,7,2,13
"MR",2,2698,1405,4,0,61.1,61.8,62.6,63.5,65.3,66.3,67.3,68.8,69.7,70.9,71.6,72.2,73.3,0.95,0.7,0.8,0.9,1.8,1,1,1.5,0.85,1.2,0.75,0.6,1.1,2,0,1,7,1,10,1,2,2,0,2,12,6
"MR",11501,2743,1382,3,0,39.9,41.3,43,44.5,46.4,48,49.7,51.2,52.2,52.9,53.2,53.8,54.6,1.86,1.45,1.7,1.5,1.9,1.6,1.7,1.5,1,0.65,0.3,0.65,0.75,60,7,27,36,7,6,32,20,85,3,56,4,76
"MR",3,3123,1390,3,0,31.3,32,32.8,34,35.4,36.3,37.3,38.8,39.5,40.6,41.5,42,43.3,0.14,0.7,0.85,1.15,1.4,0.95,1,1.5,0.7,1.05,0.9,0.55,1.25,4,0,2,1,1,3,7,0,1,0,1,3,0
"MR",147,-1327,-1403,2,3,36.5,36.7,36.6,36.6,36.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0.15,-0.1,0,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"MR",148,-1144,-1257,4,0,37.2,37.9,38.7,39.7,40.7,41.8,42.6,43.7,44.5,45.9,46.4,47.3,48.6,1.06,0.7,0.85,1,1,1.1,0.8,1.05,0.85,1.4,0.5,0.9,1.25,NA,3,0,0,39,5,3,0,13,3,4,2,1
"MR",149,-1300,-1032,4,1,53.8,54.5,55.8,57,58.9,60.2,61.7,63.2,64.4,66.2,67.2,68.5,70.4,1.28,0.75,1.25,1.25,1.85,1.3,1.5,1.5,1.25,1.75,1,1.35,1.85,NA,24,5,25,3,31,0,7,29,1,6,4,0
"MR",50404,-1498,-822,0,0,NA,NA,10,10.4,10.8,11.4,12.5,12.9,14,15.1,15.8,16.6,16.7,NA,NA,NA,0.35,0.4,0.6,1.1,0.4,1.15,1.1,0.65,0.8,0.15,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"MR",50401,-1498,-779,2,1,32.3,32.6,33.3,33.2,33.7,33.9,34,34.4,34.3,34.3,NA,NA,NA,0.67,0.3,0.7,-0.1,0.5,0.2,0.05,0.4,-0.1,0.05,NA,NA,NA,NA,0,0,5,0,0,0,0,0,0,NA,NA,NA
"MR",50402,-1501,-778,0,3,27.2,27.5,27.5,27.7,28,28.1,28,27.9,NA,NA,NA,NA,NA,0.39,0.3,0,0.2,0.3,0.15,-0.1,-0.1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"MR",50403,-1487,-730,4,3,35.5,35.9,36.2,36.8,37.4,37.7,38,38.2,38.4,38.6,38.4,38.4,38.5,NA,0.4,0.3,0.55,0.65,0.25,0.3,0.25,0.15,0.25,-0.2,0,0.05,NA,0,0,1,0,0,0,0,0,0,0,0,0
"MR",151,-2166,-605,2,1,28.8,28.8,29,29.1,29.8,30.3,30.7,31.4,31.8,32.9,33.4,33.9,35.3,0.11,0,0.15,0.15,0.7,0.45,0.45,0.7,0.35,1.15,0.5,0.5,1.4,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MR",50502,-2068,-641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR",50505,-1482,-727,NA,2,NA,NA,NA,17,17.2,17.2,17.4,17.7,17.6,17.8,17.5,17.7,18.1,NA,NA,NA,NA,0.2,0,0.15,0.3,-0.1,0.2,-0.25,0.2,0.4,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"MR",150,-1314,-644,3,2,57.5,57.7,57.6,57.7,57.6,57.6,NA,NA,NA,NA,NA,NA,NA,0,0.15,-0.05,0.05,-0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"MR",50504,-1308,-619,NA,2,NA,NA,NA,27.6,27.6,27.9,27.9,27.8,27.8,28,27.7,28,28.2,NA,NA,NA,NA,0,0.3,0,-0.15,0.05,0.2,-0.3,0.3,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"MR",50503,-1308,-595,4,1,NA,NA,44.5,45.6,46.7,47.6,48.4,49.1,49.5,50.7,50.6,50.9,51.5,NA,NA,NA,1.1,1.05,0.9,0.8,0.7,0.4,1.25,-0.15,0.35,0.6,NA,NA,1,0,1,2,0,5,0,10,8,3,0
"MR",50508,-1313,-595,NA,NA,NA,NA,6.7,7.7,9.1,9.9,10.9,11.3,12.8,13.9,14.6,15.9,16.6,NA,NA,NA,1,1.4,0.8,1,0.4,1.5,1.1,0.7,1.3,0.7,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"MR",50501,-1228,-650,4,0,25.1,26.7,27.8,29.1,30.7,31.7,32.2,32.9,33.3,34.2,34.4,34.9,35.5,NA,1.55,1.1,1.3,1.6,1,0.55,0.65,0.45,0.9,0.15,0.55,0.6,NA,10,0,0,5,0,1,0,4,0,0,0,0
"MR",152,-1273,-344,4,0,40,40.3,40.6,41.2,42.4,42.5,42.9,43.4,44.6,45.5,45.8,46.3,46.5,0.28,0.3,0.35,0.6,1.15,0.15,0.4,0.45,1.2,0.95,0.3,0.5,0.2,NA,0,0,2,0,0,0,0,0,0,1,8,0
"MR",50701,-1137,-275,2,2,NA,NA,NA,19.3,20.9,21.6,22.2,23.1,23.6,24.5,25.3,26.4,27.5,NA,NA,NA,NA,1.6,0.7,0.6,0.85,0.55,0.9,0.8,1.05,1.15,NA,NA,NA,0,0,0,0,1,1,0,0,0,0
"MR",153,-1396,-89,4,4,41.6,41.6,41.7,41.7,41.9,41.7,41.9,41.9,41.8,41.9,NA,NA,NA,-0.06,0.05,0.05,0,0.2,-0.15,0.15,0,-0.1,0.1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MR",50801,-1379,60,4,2,54.9,55.4,56,56.6,57.4,57.7,58.3,59.2,59.9,61,61,61.6,62.6,0.78,0.5,0.55,0.65,0.75,0.35,0.6,0.9,0.65,1.15,0,0.6,0.95,NA,0,0,12,2,16,5,5,34,6,12,3,2
"MR",154,-1458,572,2,3,43.1,43,43.3,43.6,44.3,44.6,44.9,45.1,45.2,45.5,45.3,45.4,45.4,0.67,-0.1,0.25,0.3,0.7,0.3,0.3,0.2,0.1,0.3,-0.2,0.1,0,NA,0,0,1,0,6,0,0,0,0,0,0,0
"MR",155,-1878,714,4,1,52.1,52.8,53.4,54.3,54.8,55.5,56.2,57,57.9,59.1,59.5,60.2,61.3,0.89,0.65,0.6,0.9,0.5,0.7,0.7,0.85,0.85,1.2,0.45,0.7,1.05,NA,0,0,2,0,4,1,2,1,0,0,2,0
"MR",156,-2104,976,2,1,31.7,32.3,32.6,32.9,33.2,33.4,33.7,34.1,34.4,35,35.4,36.2,37.7,1.06,0.6,0.3,0.35,0.25,0.2,0.3,0.45,0.3,0.6,0.4,0.75,1.5,NA,4,0,0,0,0,1,0,15,0,0,0,0
"MR",157,-1930,967,2,0,48.5,49,49.2,49.8,50.4,50.7,51.2,51.7,52.3,53,53.4,53.8,54.5,0.61,0.5,0.15,0.6,0.6,0.3,0.55,0.5,0.6,0.7,0.35,0.45,0.7,NA,0,0,1,0,1,2,0,1,0,2,0,0
"MR",158,-1918,967,4,0,78.5,78.4,78.5,78.3,78,NA,NA,NA,NA,NA,NA,NA,NA,0.28,-0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA
"MR",159,-1860,982,4,0,83.7,83.8,84.2,84.8,84.9,85.7,86.2,86.7,87.4,88.5,88.8,89.3,90.2,0.56,0.15,0.35,0.6,0.15,0.8,0.5,0.45,0.7,1.1,0.3,0.5,0.95,NA,3,1,5,5,3,8,2,32,4,26,11,9
"MR",160,-1371,1010,1,1,46.2,46.9,47.8,49.1,49.8,51.1,51.6,53.1,54.1,55.2,55.7,56.5,57.4,0.94,0.75,0.9,1.25,0.75,1.3,0.5,1.45,1.05,1.1,0.45,0.8,0.95,NA,0,1,1,2,4,1,2,4,0,1,0,1
"MR",51401,-1899,1133,NA,2,NA,NA,NA,35.7,35.8,36.2,36.5,36.9,37,37.6,37.6,38,38.1,NA,NA,NA,NA,0.1,0.4,0.25,0.4,0.15,0.55,0.05,0.4,0.05,NA,NA,NA,0,0,2,0,0,1,0,0,0,0
"MR",161,-1439,1120,2,0,29.5,30.4,31.2,32.5,33.3,34.4,35.4,36.8,37.4,38.9,39.4,40.1,41,1.39,0.95,0.8,1.25,0.85,1.1,0.95,1.4,0.65,1.45,0.5,0.7,0.9,NA,1,3,6,5,5,9,1,46,2,12,8,2
"MR",162,-1418,1036,4,0,30.3,31.1,31.6,33,33.8,34.7,35.1,36.2,36.9,37.9,38.5,39,39.1,1.33,0.75,0.55,1.4,0.8,0.9,0.4,1.1,0.7,0.95,0.65,0.5,0.1,NA,1,0,4,5,4,1,2,56,0,9,3,0
"MR",163,-1261,1436,3,0,38.5,39.1,39.9,40.4,41.1,41.5,41.9,42.3,42.3,42.6,42.4,42.4,NA,0.94,0.6,0.85,0.5,0.7,0.4,0.35,0.45,-0.05,0.35,-0.25,0.05,NA,NA,0,0,0,0,4,0,0,0,0,0,0,NA
"MR",60101,-3154,-1437,2,0,23,23.8,24.8,25.7,26.6,28,29.2,30.7,31.7,33,33.8,34.4,35.1,NA,0.8,1,0.85,0.9,1.4,1.2,1.55,1,1.3,0.8,0.55,0.7,NA,0,0,0,0,0,0,0,0,1,0,0,0
"MR",164,-2917,-1545,0,1,28.1,28.1,28.1,28.1,28.4,28.7,28.7,28.9,29,29.2,29.1,29.3,29.5,0.22,0,0,0,0.25,0.3,0,0.25,0.1,0.15,-0.1,0.25,0.15,NA,0,0,0,0,1,0,0,0,0,0,0,0
"MR",60201,-2960,-1186,2,1,34.3,34.8,35,35.5,36.5,36.9,37.4,38.2,38.8,39.7,40.2,41.1,NA,0.83,0.55,0.2,0.5,0.95,0.4,0.5,0.8,0.6,0.9,0.5,0.9,NA,NA,2,0,0,0,4,3,1,5,2,2,1,NA
"MR",165,-2860,-1334,4,3,61.9,62.3,62.7,63.1,63,62.9,NA,NA,NA,NA,NA,NA,NA,0.89,0.35,0.4,0.4,-0.1,-0.05,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"MR",166,-2977,-865,0,0,29,29.1,29.1,29.4,29.5,29.8,30.2,30.5,31.5,31.8,32.2,32.4,32.8,0.11,0.05,0,0.3,0.15,0.3,0.4,0.25,1,0.35,0.4,0.2,0.4,NA,0,0,0,0,3,0,0,0,0,0,0,0
"MR",60401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR",167,-2595,-350,1,3,34.6,34.8,35.2,35.7,36.3,36.5,36.6,36.9,37,37.2,37.3,37.7,38.1,0.56,0.15,0.4,0.5,0.6,0.2,0.1,0.35,0.05,0.2,0.1,0.4,0.4,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MR",168,-2581,-483,4,1,61.6,61.9,62.2,62.7,63.2,63.5,63.9,64.6,65,65,65,65.3,65.4,0.56,0.25,0.35,0.5,0.5,0.3,0.35,0.75,0.4,-0.05,0,0.3,0.1,NA,6,1,9,0,3,7,1,5,1,2,1,0
"MR",60701,-2607,-255,2,0,33.4,35,36.9,39.2,41.5,43.5,45.4,47.7,NA,NA,NA,NA,NA,NA,1.6,1.85,2.3,2.3,2.05,1.9,2.25,NA,NA,NA,NA,NA,NA,0,0,0,0,3,2,0,NA,NA,NA,NA,NA
"MR",169,-3277,169,2,0,40.8,41,41.1,41.3,41.5,42,42.2,43.1,43.3,43.8,43.7,44.5,45.1,0.06,0.25,0.05,0.2,0.25,0.5,0.2,0.85,0.2,0.5,-0.05,0.75,0.6,NA,2,0,0,0,3,0,0,1,0,0,0,0
"MR",170,-3139,369,4,0,28.9,29,29,29.3,29.5,29.6,30.2,30.7,31.2,32.1,32.9,34.1,35.4,0.06,0.15,0,0.3,0.15,0.1,0.6,0.55,0.45,0.95,0.8,1.2,1.3,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MR",171,-2664,418,4,1,44.7,45.3,45.8,47.1,48.9,50.3,51.5,52.8,54,55.4,56.4,57.7,58.8,0.5,0.6,0.5,1.35,1.8,1.4,1.2,1.3,1.2,1.4,1,1.3,1.1,NA,0,0,0,0,6,2,0,0,0,0,0,0
"MR",61001,-2542,258,NA,1,NA,NA,NA,32.6,33.2,33.9,34.6,35.5,36.1,36.8,37.2,37.9,38.3,NA,NA,NA,NA,0.55,0.7,0.75,0.85,0.6,0.75,0.4,0.65,0.4,NA,NA,NA,0,0,2,0,0,0,0,0,0,0
"MR",172,-3162,527,2,3,46.5,46.6,46.7,46.6,46.8,46.8,46.8,46.9,47,47,46.8,46.8,NA,0.06,0.15,0.05,-0.05,0.15,0.05,0,0.1,0.05,0,-0.2,0.05,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA
"MR",61101,-3091,545,0,3,NA,NA,22.5,22.8,23,23.1,23.2,23.7,24,24.3,24.3,24.9,25.2,NA,NA,NA,0.3,0.15,0.1,0.15,0.45,0.35,0.25,0,0.65,0.25,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"MR",173,-2772,485,3,2,48.9,49.7,49.9,50.4,51.3,52.1,52.6,53.6,54.6,55.8,56.7,57.9,59.2,1.5,0.85,0.2,0.5,0.9,0.75,0.55,1,1,1.15,0.9,1.25,1.25,NA,0,0,1,1,1,0,1,10,4,3,1,0
"MR",61201,-2902,750,1,1,29.5,29.8,29.6,29.7,29.8,30.3,31.2,32.2,33.7,35.2,36.6,37.8,38.9,0.72,0.35,-0.25,0.1,0.15,0.5,0.85,1.05,1.45,1.5,1.4,1.25,1.1,NA,0,0,0,0,0,0,0,0,0,0,1,5
"MR",175,-3284,1112,2,1,22.3,23.2,23.8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,0.95,0.6,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MR",61401,-2233,1160,NA,0,NA,NA,NA,45.7,47.1,48.6,49.5,50.9,51.7,52.7,53.5,54.1,55.1,NA,NA,NA,NA,1.4,1.45,0.95,1.35,0.8,1.05,0.75,0.65,0.95,NA,NA,NA,32,3,5,34,0,13,3,3,0,0
"AA",1,NA,NA,3,0,36.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA",2,NA,NA,4,0,40.1,41.1,41.9,42.7,44,45.3,45.8,NA,NA,NA,NA,NA,NA,0.65,1,0.8,0.8,1.25,1.3,0.5,NA,NA,NA,NA,NA,NA,2,0,0,3,0,0,23,NA,NA,NA,NA,NA,NA
"AA",3,NA,NA,4,0,32.4,33.7,34.8,36.1,37.1,37.8,38.5,NA,NA,NA,NA,NA,NA,1.35,1.3,1.15,1.3,1,0.65,0.7,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"AA",4,NA,NA,4,0,28.9,29.6,30.2,30.9,31.7,32.4,32.9,NA,NA,NA,NA,NA,NA,0.75,0.75,0.6,0.7,0.8,0.7,0.45,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,63,NA,NA,NA,NA,NA,NA
"AA",5,NA,NA,4,0,60.7,62.1,62.5,63.1,63.7,64.3,64.6,NA,NA,NA,NA,NA,NA,0.7,1.4,0.4,0.55,0.6,0.6,0.3,NA,NA,NA,NA,NA,NA,0,2,1,3,2,0,37,NA,NA,NA,NA,NA,NA
"AA",205,NA,NA,4,0,25.8,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA",6,NA,NA,3,0,34.6,34.9,35.9,36.7,37.8,38.8,39.4,NA,NA,NA,NA,NA,NA,0.7,0.25,1.05,0.8,1.05,1,0.6,NA,NA,NA,NA,NA,NA,6,0,0,1,3,62,0,NA,NA,NA,NA,NA,NA
"AA",7,NA,NA,4,0,34.7,36.3,37.5,39,40,40.8,41.5,NA,NA,NA,NA,NA,NA,1.1,1.55,1.25,1.45,1.05,0.8,0.65,NA,NA,NA,NA,NA,NA,9,0,0,0,4,9,7,NA,NA,NA,NA,NA,NA
"AA",8,NA,NA,4,0,34.1,35,36,36.6,37.5,38.3,38.6,NA,NA,NA,NA,NA,NA,1,0.85,1,0.65,0.85,0.8,0.35,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"AA",9,NA,NA,4,0,41.2,41.5,42.5,42.9,43.6,44.1,44.2,NA,NA,NA,NA,NA,NA,0.7,0.3,0.95,0.4,0.75,0.5,0.1,NA,NA,NA,NA,NA,NA,46,0,5,2,2,0,0,NA,NA,NA,NA,NA,NA
"AA",10,NA,NA,4,0,62.4,62.9,63.5,63.9,64.3,64.7,64.8,NA,NA,NA,NA,NA,NA,0.58,0.58,0.55,0.45,0.35,0.4,0.1,NA,NA,NA,NA,NA,NA,0,0,0,0,2,1,0,NA,NA,NA,NA,NA,NA
"AA",11,NA,NA,4,0,41.3,41.6,42.4,42.9,43.4,43.9,43.8,NA,NA,NA,NA,NA,NA,1.5,0.25,0.8,0.5,0.55,0.5,-0.1,NA,NA,NA,NA,NA,NA,13,4,0,0,2,0,0,NA,NA,NA,NA,NA,NA
"AA",12,NA,NA,4,0,27.9,28.2,28.7,29.4,30.1,30.2,30.6,NA,NA,NA,NA,NA,NA,0.9,0.3,0.45,0.75,0.7,0.1,0.35,NA,NA,NA,NA,NA,NA,12,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"AA",13,NA,NA,4,0,60.5,61.1,61.4,61.9,62.4,62.6,63,NA,NA,NA,NA,NA,NA,0.35,0.6,0.35,0.45,0.5,0.2,0.45,NA,NA,NA,NA,NA,NA,0,0,0,15,6,1,24,NA,NA,NA,NA,NA,NA
"AA",14,NA,NA,3,0,36.5,37.1,37.8,38.7,39.2,39.5,39.6,NA,NA,NA,NA,NA,NA,1.3,0.55,0.75,0.85,0.5,0.35,0.05,NA,NA,NA,NA,NA,NA,8,7,0,2,4,2,0,NA,NA,NA,NA,NA,NA
"AA",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA",16,NA,NA,3,1,38.1,38.3,38.7,39.2,39.7,40.2,40.5,NA,NA,NA,NA,NA,NA,0.45,0.2,0.45,0.45,0.5,0.5,0.3,NA,NA,NA,NA,NA,NA,7,8,4,6,3,9,0,NA,NA,NA,NA,NA,NA
"AA",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA",18,NA,NA,4,0,43.8,44,44.5,44.8,45.4,45.8,46,NA,NA,NA,NA,NA,NA,1.45,0.2,0.55,0.3,0.6,0.4,0.2,NA,NA,NA,NA,NA,NA,4,0,0,0,2,2,0,NA,NA,NA,NA,NA,NA
"AA",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA",97,NA,NA,4,0,47.4,47.6,47.7,47.9,48.1,48.2,48.5,NA,NA,NA,NA,NA,NA,0.18,0.18,0.18,0.18,0.18,0.1,0.25,NA,NA,NA,NA,NA,NA,15,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"AA",98,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA",20,NA,NA,2,0,42.8,43.3,44.2,45,45.9,46.7,46.9,NA,NA,NA,NA,NA,NA,1.4,0.45,0.9,0.85,0.9,0.75,0.25,NA,NA,NA,NA,NA,NA,2,0,0,3,14,30,0,NA,NA,NA,NA,NA,NA
"AA",21,NA,NA,2,0,40.9,41.9,42.8,43.7,44.9,45.6,46,NA,NA,NA,NA,NA,NA,1.4,0.95,0.95,0.85,1.2,0.7,0.45,NA,NA,NA,NA,NA,NA,1,0,6,9,3,14,23,NA,NA,NA,NA,NA,NA
"AA",121,NA,NA,4,0,25.7,26.6,28,29.3,30.4,31.4,32.8,NA,NA,NA,NA,NA,NA,0.4,0.85,1.45,1.3,1.1,0.95,1.45,NA,NA,NA,NA,NA,NA,1,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA
"AA",22,NA,NA,2,0,46.4,46.8,47.6,48.1,48.9,49.1,49.3,NA,NA,NA,NA,NA,NA,0.4,0.35,0.85,0.5,0.8,0.2,0.2,NA,NA,NA,NA,NA,NA,5,2,8,15,6,22,0,NA,NA,NA,NA,NA,NA
"AA",23,NA,NA,3,0,55.5,55.5,56,56.2,56.6,56.8,57,NA,NA,NA,NA,NA,NA,0.85,0.05,0.5,0.2,0.4,0.15,0.2,NA,NA,NA,NA,NA,NA,3,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA
"AA",24,NA,NA,4,0,24.3,24.5,24.7,24.9,25.1,25.6,25.7,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.2,0.45,0.1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"AA",25,NA,NA,2,0,55.4,56.5,57.4,58.4,59.4,60.3,60.9,NA,NA,NA,NA,NA,NA,1.3,1.1,0.9,1,1,0.85,0.65,NA,NA,NA,NA,NA,NA,10,0,3,7,12,22,10,NA,NA,NA,NA,NA,NA
"AA",26,NA,NA,4,0,53.8,54.1,54.6,54.9,55.4,55.7,55.9,NA,NA,NA,NA,NA,NA,0.95,0.3,0.55,0.25,0.55,0.3,0.2,NA,NA,NA,NA,NA,NA,3,0,3,2,10,8,0,NA,NA,NA,NA,NA,NA
"AA",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA",28,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
