sample_id,date,year,water_body,location,lat_dd,long_dd,tube_id_2011,kirk_number_2011,field_id,species_name,gear,vgn_depth_m,vgn_id,start_time,end_time,depth_start,depth_stop,total_depth,otoliths,scale,muscle,adipose,whole_fish,fin_clip,genetics,photo,stomach_lavage,stomach_dissection,stomach_contents,food_weight_g,bia,fate,age_otolith,age_otolith_by,age_otolith_confidence,age_otolith_date,age_scale,tl_mm,fl_mm,sl_mm,weight_g,weight_dry_g,q_2,sex,gillraker_count,c,o,sr,op,ch_1,ch_2,lmx,lmd,io,h_1,h_2,ad,pd,pv,pa,av,dc,ac,ld,hd,la,ha,lp,hp,lv,hv,pl,ll,d,a,p,v,egg_development,egg_weight,egg_count,d13c_muscle,d15n_muscle,percent_c_muscle,percent_n_muscle,c_to_n_muscle,d13c_adipose,d15n_adipose,percent_c_adipose,percent_n_adipose,c_to_n_adipose,water_temp_c,do_mg_l,conductivity,weather,time,floy_id,pit_id,lotek_id,lotek_code,lotek_freq,nickname,comments
G2145,7/19/13,2013,Hovsgol,Fish Corner,50.802031,100.531351,,,grayling-Hovsgol,grayling-Hovsgol,gillnet-horizontal,NA,NA,,,NA,NA,NA,2,,Y,,,Y,Y,Y,,Y,,NA,,,10,Brian Weidel,1,11/12/14,,238,218,204,105.4,69.4,NA,F,30,43.1,11.5,NA,21.8,24.6,16.7,14,21.4,5.5,39.4,10.5,73,111,67.7,NA,51.8,85.4,28.4,44.7,33.2,21.1,32.8,NA,8.8,36.4,8.2,NA,82,VIII-12,II-8,II-9,I-12,,NA,NA,-25.1,7.33,0.481,0.138,3.5,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,
G1294,7/23/12,2012,Hovsgol,Horoo,51.57206,100.50114,,,grayling-Hovsgol,grayling-Arctic,gillnet-horizontal,NA,NA,,AM,NA,NA,NA,2,,Y,,,,,Y,,Y,,NA,N,,11,Brian Weidel,1,11/12/14,,382,351,328,361,NA,NA,F,21,62.7,12.4,NA,35,40.8,29.5,21.9,28.2,11.8,61.8,18.8,112.4,167,104.5,NA,89.5,153,52.7,62.8,49.4,30.6,45.7,50.1,11.3,52.1,11.5,NA,93,IV-12,II-9,I-10,I-12,,NA,NA,-18.8,6.31,0.467317972,0.131695716,3.548467522,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,
G1328,7/24/12,2012,Hovsgol,Stomach Bay,51.33582,100.38239,,,grayling-Hovsgol,grayling-Hovsgol,gillnet-horizontal,NA,NA,,AM,NA,NA,NA,2,,Y,,,,,Y,,Y,,NA,N,,12,Brian Weidel,1,11/12/14,,366,334,310,359,NA,NA,F,27,61.2,14,NA,33.6,32.7,27.7,21.2,28.7,12.9,60.5,20.5,108.5,163,95.5,NA,82.1,146.4,49.3,60,45,27.4,36.5,45,11,49.5,11.8,NA,89,IV-12,II-8,I-8,I-13,,NA,NA,-22.43,6.87,0.43832761,0.135804953,3.227626104,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,
G1006,7/3/12,2012,Uur,Riffle Below T. Camp,50.32328,101.88365,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,AM,NA,NA,NA,2,,Y,,,,2,,,Y,,NA,,,2,Brian Weidel,2,11/12/14,,254,235,220,135.6,NA,NA,F,17,43.7,11.9,NA,21.7,30.5,21.9,15.5,20,NA,47.1,16,77.9,112,71.5,NA,58,98.5,35.7,43.5,36.7,21.7,31.5,34.2,NA,84,88,NA,95,V-14,II-9,I-10,I-15,,NA,NA,-28.62,9.95,0.424991928,0.132942479,3.196810621,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G1064,7/9/12,2012,Eg,David's Island,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,Y,Y,,,,Y,,Y,,NA,Y,,3,Brian Weidel,2,11/12/14,,265,251,228,151.2,NA,NA,F,19,43.9,12.2,NA,23.8,30.6,19,16.2,19,13.1,49.8,16.1,81.3,113.3,73.1,NA,61.9,115.1,34.5,47.7,36.5,21.1,30.2,8.7,30.8,9.5,35.3,NA,97,VI-13,II-9,I-9,I-14,,NA,NA,-27.74,10.31,0.42432734,0.132423799,3.204313313,-27.85608283,9.026887052,0.458245659,0.132137133,3.467955224,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G1069,7/9/12,2012,Eg,,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,,Y,,Y,,NA,N,,3,Brian Weidel,2,11/12/14,,265,242,228,167.9,NA,NA,F,17,45.3,11.8,NA,24,28.8,20.3,16.6,19.3,14.8,54.9,16.5,85.7,72,66.8,NA,62.4,100.9,35.8,46.2,35.9,23.1,29.7,9.7,31.6,9.1,35.5,NA,87,V-12,I-10,I-10,I-13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G1074,7/9/12,2012,Eg,,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,,Y,,Y,,NA,N,,3,Brian Weidel,2,11/12/14,,251,231,216,149.7,NA,NA,F,16,42.9,10.5,NA,21.3,28.8,20.7,16.5,20.4,14.5,49.6,16.8,80.6,111.4,68.2,NA,58.4,94.5,33.4,45,33.4,19,28.4,8.9,31.3,8.9,34.1,NA,92,VII-11,I-9,I-10,I-14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G1104,7/13/12,2012,Uur,Riffle DST swimming hole,50.30985,101.89547,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,AM,NA,NA,NA,2,,Y,Y,,,,Y,,Y,,NA,Y,,3,Brian Weidel,2,11/12/14,,245,223,209,131.9,NA,NA,F,17,40,10.8,NA,23,29,22,15.1,17.6,11.8,45.3,15.5,72.6,102.7,65.5,NA,56.5,96.3,33.1,45.1,35.4,20.2,30.6,9.2,29.7,8.8,33.3,NA,NA,VII-13,II-9,I-9,II-12,,NA,NA,-29.64,10.9,0.488603992,0.136338181,3.58376493,-28.42012462,10.42883757,0.452107216,0.134899259,3.351443293,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G1118,7/14/12,2012,Uur,,50.2905,101.94604,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,AM,NA,NA,NA,2,,,,,,,Y,,Y,,NA,N,,3,Brian Weidel,2,11/12/14,,220,202,187,82.7,NA,NA,F,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,V-13,II-8,I-9,I-13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G1224,7/19/12,2012,Hovsgol,Fish Corner,50.80201,100.53076,,,grayling-Arctic,grayling-Arctic,gillnet-horizontal,NA,NA,,AM,NA,NA,NA,2,,,,,,,Y,,Y,,NA,N,,3,Brian Weidel,2,11/12/14,,252,231,216,129,NA,NA,F,20,40.7,10.3,NA,21.8,24.1,16.6,14.4,16.8,9.2,43.6,15.5,87.7,110.3,70,NA,59.2,97.5,36,42.5,33.4,18.6,22.7,9.1,32.8,7.8,35.2,NA,88,VI-12,I-9,I-10,I-12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G1228,7/19/12,2012,Hovsgol,Fish Corner,50.80201,100.53076,,,grayling-Arctic,grayling-Arctic,gillnet-horizontal,NA,NA,,AM,NA,NA,NA,2,,,,,,,Y,,Y,,NA,N,,3,Brian Weidel,2,11/12/14,,266,243,228,150,NA,NA,F,19,42.7,11.1,NA,22.6,28.2,18.1,13.5,17.4,7.9,49.2,16.1,83.5,110.5,68.9,NA,63,101.8,35.2,46.4,35.8,21.8,32.2,8.6,33.6,7,36.8,NA,87,V-13,I-9,I-10,I-13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G1051,7/9/12,2012,Eg,David's Island,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,Y,,,,,Y,,Y,,NA,Y,,4,Brian Weidel,2,11/12/14,,258,235,221,155.6,NA,NA,F,18,41.9,11.7,NA,21.7,29.2,18.6,15.3,18.2,13.7,49.2,17,70.9,110.5,69.2,NA,59.8,98.5,38.3,47.9,32.9,21.4,31.9,9,30.6,8.9,35.3,NA,95,V-14,II-9,I-9,I-14,,NA,NA,-29.22,11.43,0.440663674,0.137935094,3.194717622,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G17,7/8/11,2011,Eg-Uur-DSC,,NA,NA,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,,,,,,,,,Kirk has diet data matched to water body but not matched to fishID,NA,,,5,Brian Weidel,2,11/12/14,,300,274,97,229,NA,NA,F,16,50.5,14.1,12.5,27,38.8,29.7,15.6,23.4,NA,60.3,20.2,44,127,79.7,60.4,NA,NA,45,57,61,25.7,33,39.7,NA,45.2,NA,NA,NA,VI-12,II-9,I-10,II-13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Kirk's numbers do not match our numbers for this fish. Brian says about age: a lot of growth, perhaps full season past last annuli."
G1065,7/9/12,2012,Eg,David's Island,50.27447,101.8752,,,grayling-Arctic,grayling-Arctic,angling,NA,NA,,,NA,NA,NA,2,,Y,Y,,,,Y,,Y,,NA,Y,,2,Brian Weidel,2,11/12/14,,279,255,239,178.7,NA,NA,F,20,44.8,12.7,NA,24,31,20.5,15.5,19.8,14.5,49.8,17.6,84.5,119.7,76,NA,63.2,115.3,36.7,51.1,44.4,23.1,35.5,11.1,36.9,8.6,36.9,NA,91,VI-14,I-10,I-12,I-14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Tissue samples missing. Brian says about age: a lot of growth, perhaps full season past last annuli."
G1295,7/23/12,2012,Hovsgol,Horoo,51.57206,100.50114,,,grayling-Hovsgol,grayling-Hovsgol,gillnet-horizontal,NA,NA,,AM,NA,NA,NA,2,,Y,,,,,Y,,Y,,NA,N,,6,Brian Weidel,2,11/12/14,,293,269,252,204.4,NA,NA,F,30,48.4,11.1,NA,28,30.5,21.2,15,19.3,9.5,48.6,14.8,90,129.2,81.7,NA,68.7,116.6,37.2,51.4,36.1,21.2,37.5,34,9.3,39.1,9.6,NA,95,VI-12,II-9,I-9,I-14,,NA,NA,-21.1,6.28,0.473508669,0.142825572,3.315293356,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
G2216,7/23/13,2013,Hovsgol,Horoo,51.571778,100.501307,,,grayling-Hovsgol,grayling-Hovsgol,gillnet-horizontal,NA,NA,,,NA,NA,NA,2,,Y,,,Y,Y,Y,,Y,,NA,,,6,Brian Weidel,2,11/12/14,,268,243,228,133.1,118.5,NA,F,23,37.2,11.3,NA,21.5,26.5,19.2,15.3,20.4,4.7,44,13,80.8,114,70.7,NA,62,109.2,41.9,39.8,42.8,18.8,31,NA,7.7,36,8,NA,90,V-11,I-9,,I-14,VI-II,NA,NA,-22.41,7.19,0.461,0.125,3.7,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,NA,,"Brian says about age: a lot of growth, perhaps full season past last annuli"
